contestant_id,season_number,episode_number,contestant_name,episode_placement
9,1,1,BeBe Zahara Benet,SAFE
2,1,1,Nina Flowers,WIN
3,1,1,Rebecca Glasscock,LOW
1,1,1,Shannel,SAFE
4,1,1,Ongina,HIGH
8,1,1,Jade,SAFE
6,1,1,Akashia,BTM2
7,1,1,Tammie Brown,SAFE
5,1,1,Victoria Porkchop Parker,ELIM
9,1,2,BeBe Zahara Benet,SAFE
2,1,2,Nina Flowers,HIGH
3,1,2,Rebecca Glasscock,HIGH
1,1,2,Shannel,HIGH
4,1,2,Ongina,WIN
8,1,2,Jade,SAFE
6,1,2,Akashia,BTM2
7,1,2,Tammie Brown,ELIM
9,1,3,BeBe Zahara Benet,WIN
2,1,3,Nina Flowers,HIGH
3,1,3,Rebecca Glasscock,SAFE
1,1,3,Shannel,BTM2
4,1,3,Ongina,HIGH
8,1,3,Jade,LOW
6,1,3,Akashia,ELIM
9,1,4,BeBe Zahara Benet,HIGH
2,1,4,Nina Flowers,HIGH
3,1,4,Rebecca Glasscock,BTM2
1,1,4,Shannel,LOW
4,1,4,Ongina,WIN
8,1,4,Jade,ELIM
9,1,5,BeBe Zahara Benet,BTM2
2,1,5,Nina Flowers,LOW
3,1,5,Rebecca Glasscock,WIN
1,1,5,Shannel,HIGH
4,1,5,Ongina,ELIM
9,1,6,BeBe Zahara Benet,WIN
2,1,6,Nina Flowers,HIGH
3,1,6,Rebecca Glasscock,BTM2
1,1,6,Shannel,ELIM
9,1,8,BeBe Zahara Benet,Winner
2,1,8,Nina Flowers,Runner-up
3,1,8,Rebecca Glasscock,Eliminated
9,1,9,BeBe Zahara Benet,Guest
2,1,9,Nina Flowers,Miss C
3,1,9,Rebecca Glasscock,Guest
1,1,9,Shannel,Guest
4,1,9,Ongina,Guest
8,1,9,Jade,Guest
6,1,9,Akashia,Guest
7,1,9,Tammie Brown,Guest
5,1,9,Victoria Porkchop Parker,Guest
21,2,1,Tyra Sanchez,HIGH
12,2,1,Raven,SAFE
13,2,1,Jujubee,SAFE
19,2,1,Tatianna,SAFE
20,2,1,Pandora Boxx,HIGH
17,2,1,Jessica Wild,SAFE
14,2,1,Sahara Davenport,BTM2
15,2,1,Morgan McMichaels,WIN
18,2,1,Sonique,SAFE
16,2,1,Mystique Summers Madison,LOW
10,2,1,Nicole Paige Brooks,SAFE
11,2,1,Shangela Laquifa Wadley,ELIM
21,2,2,Tyra Sanchez,HIGH
12,2,2,Raven,BTM2
13,2,2,Jujubee,HIGH
19,2,2,Tatianna,SAFE
20,2,2,Pandora Boxx,SAFE
17,2,2,Jessica Wild,HIGH
14,2,2,Sahara Davenport,WIN
15,2,2,Morgan McMichaels,SAFE
18,2,2,Sonique,LOW
16,2,2,Mystique Summers Madison,HIGH
10,2,2,Nicole Paige Brooks,ELIM
21,2,3,Tyra Sanchez,WIN
12,2,3,Raven,BTM2
13,2,3,Jujubee,SAFE
19,2,3,Tatianna,SAFE
20,2,3,Pandora Boxx,HIGH
17,2,3,Jessica Wild,HIGH
14,2,3,Sahara Davenport,SAFE
15,2,3,Morgan McMichaels,SAFE
18,2,3,Sonique,SAFE
16,2,3,Mystique Summers Madison,ELIM
21,2,4,Tyra Sanchez,SAFE
12,2,4,Raven,SAFE
13,2,4,Jujubee,LOW
19,2,4,Tatianna,WIN
20,2,4,Pandora Boxx,HIGH
17,2,4,Jessica Wild,SAFE
14,2,4,Sahara Davenport,SAFE
15,2,4,Morgan McMichaels,BTM2
18,2,4,Sonique,ELIM
21,2,5,Tyra Sanchez,WIN
12,2,5,Raven,HIGH
13,2,5,Jujubee,HIGH
19,2,5,Tatianna,SAFE
20,2,5,Pandora Boxx,LOW
17,2,5,Jessica Wild,HIGH
14,2,5,Sahara Davenport,BTM2
15,2,5,Morgan McMichaels,ELIM
21,2,6,Tyra Sanchez,LOW
12,2,6,Raven,HIGH
13,2,6,Jujubee,BTM2
19,2,6,Tatianna,SAFE
20,2,6,Pandora Boxx,HIGH
17,2,6,Jessica Wild,WIN
14,2,6,Sahara Davenport,ELIM
21,2,7,Tyra Sanchez,HIGH
12,2,7,Raven,WIN
13,2,7,Jujubee,HIGH
19,2,7,Tatianna,BTM2
20,2,7,Pandora Boxx,LOW
17,2,7,Jessica Wild,ELIM
21,2,8,Tyra Sanchez,HIGH
12,2,8,Raven,WIN
13,2,8,Jujubee,BTM2
19,2,8,Tatianna,HIGH
20,2,8,Pandora Boxx,ELIM
21,2,9,Tyra Sanchez,WIN
12,2,9,Raven,HIGH
13,2,9,Jujubee,BTM2
19,2,9,Tatianna,ELIM
21,2,11,Tyra Sanchez,Winner
12,2,11,Raven,Runner-up
13,2,11,Jujubee,Eliminated
21,2,12,Tyra Sanchez,Guest
12,2,12,Raven,Guest
13,2,12,Jujubee,Guest
19,2,12,Tatianna,Guest
20,2,12,Pandora Boxx,Miss C
17,2,12,Jessica Wild,Guest
14,2,12,Sahara Davenport,Guest
15,2,12,Morgan McMichaels,Guest
18,2,12,Sonique,Guest
16,2,12,Mystique Summers Madison,Guest
10,2,12,Nicole Paige Brooks,Guest
11,2,12,Shangela Laquifa Wadley,Guest
33,3,2,Raja,WIN
25,3,2,Manila Luzon,HIGH
30,3,2,Alexis Mateo,SAFE
28,3,2,Yara Sofia,SAFE
23,3,2,Carmen Carrera,LOW
34,3,2,Shangela,BTM2
22,3,2,Delta Work,SAFE
26,3,2,Stacy Layne Matthews,SAFE
29,3,2,Mariah,SAFE
31,3,2,India Ferrah,SAFE
32,3,2,Mimi Imfurst,HIGH
24,3,2,Phoenix,SAFE
27,3,2,Venus D-Lite,ELIM
33,3,3,Raja,SAFE
25,3,3,Manila Luzon,SAFE
30,3,3,Alexis Mateo,WIN
28,3,3,Yara Sofia,HIGH
23,3,3,Carmen Carrera,LOW
34,3,3,Shangela,WIN
22,3,3,Delta Work,BTM2
26,3,3,Stacy Layne Matthews,HIGH
29,3,3,Mariah,HIGH
31,3,3,India Ferrah,SAFE
32,3,3,Mimi Imfurst,HIGH
24,3,3,Phoenix,ELIM
33,3,4,Raja,SAFE
25,3,4,Manila Luzon,SAFE
30,3,4,Alexis Mateo,WIN
28,3,4,Yara Sofia,HIGH
23,3,4,Carmen Carrera,SAFE
34,3,4,Shangela,SAFE
22,3,4,Delta Work,SAFE
26,3,4,Stacy Layne Matthews,HIGH
29,3,4,Mariah,LOW
31,3,4,India Ferrah,BTM2
32,3,4,Mimi Imfurst,ELIM
33,3,5,Raja,SAFE
25,3,5,Manila Luzon,WIN
30,3,5,Alexis Mateo,SAFE
28,3,5,Yara Sofia,SAFE
23,3,5,Carmen Carrera,SAFE
34,3,5,Shangela,HIGH
22,3,5,Delta Work,SAFE
26,3,5,Stacy Layne Matthews,BTM2
29,3,5,Mariah,LOW
31,3,5,India Ferrah,ELIM
33,3,6,Raja,HIGH
25,3,6,Manila Luzon,SAFE
30,3,6,Alexis Mateo,HIGH
28,3,6,Yara Sofia,LOW
23,3,6,Carmen Carrera,SAFE
34,3,6,Shangela,SAFE
22,3,6,Delta Work,BTM2
26,3,6,Stacy Layne Matthews,WIN
29,3,6,Mariah,ELIM
33,3,7,Raja,WIN
25,3,7,Manila Luzon,HIGH
30,3,7,Alexis Mateo,BTM2
28,3,7,Yara Sofia,HIGH
23,3,7,Carmen Carrera,LOW
34,3,7,Shangela,LOW
22,3,7,Delta Work,HIGH
26,3,7,Stacy Layne Matthews,ELIM
33,3,8,Raja,HIGH
25,3,8,Manila Luzon,BTM2
30,3,8,Alexis Mateo,SAFE
28,3,8,Yara Sofia,HIGH
23,3,8,Carmen Carrera,HIGH
34,3,8,Shangela,WIN
22,3,8,Delta Work,ELIM
33,3,9,Raja,LOW
25,3,9,Manila Luzon,LOW
30,3,9,Alexis Mateo,WIN
28,3,9,Yara Sofia,BTM2
23,3,9,Carmen Carrera,BTM2
34,3,9,Shangela,SAFE
33,3,10,Raja,WIN
25,3,10,Manila Luzon,HIGH
30,3,10,Alexis Mateo,LOW
28,3,10,Yara Sofia,SAFE
23,3,10,Carmen Carrera,ELIM
34,3,10,Shangela,BTM2
33,3,11,Raja,HIGH
25,3,11,Manila Luzon,HIGH
30,3,11,Alexis Mateo,BTM2
28,3,11,Yara Sofia,WIN
34,3,11,Shangela,ELIM
33,3,12,Raja,BTM2
25,3,12,Manila Luzon,WIN
30,3,12,Alexis Mateo,HIGH
28,3,12,Yara Sofia,SAFE
23,3,12,Carmen Carrera,ELIM
33,3,13,Raja,HIGH
25,3,13,Manila Luzon,WIN
30,3,13,Alexis Mateo,BTM2
28,3,13,Yara Sofia,ELIM
33,3,15,Raja,Winner
25,3,15,Manila Luzon,Runner-up
30,3,15,Alexis Mateo,Eliminated
33,3,16,Raja,Guest
25,3,16,Manila Luzon,Guest
30,3,16,Alexis Mateo,Guest
28,3,16,Yara Sofia,Miss C
23,3,16,Carmen Carrera,Guest
34,3,16,Shangela,Guest
22,3,16,Delta Work,Guest
26,3,16,Stacy Layne Matthews,Guest
29,3,16,Mariah,Guest
31,3,16,India Ferrah,Guest
32,3,16,Mimi Imfurst,Guest
24,3,16,Phoenix,Guest
27,3,16,Venus D-Lite,Guest
46,4,1,Sharon Needles,WIN
45,4,1,Chad Michaels,SAFE
38,4,1,Phi Phi O'Hara,SAFE
47,4,1,Latrice Royale,SAFE
44,4,1,Kenya Michaels,LOW
42,4,1,DiDa Ritz,SAFE
35,4,1,Willam,SAFE
37,4,1,Jiggly Caliente,BTM2
40,4,1,Milan,SAFE
39,4,1,Madame LaQueer,SAFE
43,4,1,The Princess,HIGH
36,4,1,Lashauwn Beyond,HIGH
41,4,1,Alisa Summers,ELIM
46,4,2,Sharon Needles,HIGH
45,4,2,Chad Michaels,WIN
38,4,2,Phi Phi O'Hara,SAFE
47,4,2,Latrice Royale,SAFE
44,4,2,Kenya Michaels,SAFE
42,4,2,DiDa Ritz,LOW
35,4,2,Willam,SAFE
37,4,2,Jiggly Caliente,SAFE
40,4,2,Milan,HIGH
39,4,2,Madame LaQueer,WIN
43,4,2,The Princess,BTM2
36,4,2,Lashauwn Beyond,ELIM
46,4,3,Sharon Needles,WIN
45,4,3,Chad Michaels,HIGH
38,4,3,Phi Phi O'Hara,SAFE
47,4,3,Latrice Royale,SAFE
44,4,3,Kenya Michaels,HIGH
42,4,3,DiDa Ritz,BTM2
35,4,3,Willam,SAFE
37,4,3,Jiggly Caliente,SAFE
40,4,3,Milan,SAFE
39,4,3,Madame LaQueer,LOW
43,4,3,The Princess,ELIM
46,4,4,Sharon Needles,SAFE
45,4,4,Chad Michaels,HIGH
38,4,4,Phi Phi O'Hara,HIGH
47,4,4,Latrice Royale,WIN
44,4,4,Kenya Michaels,LOW
42,4,4,DiDa Ritz,SAFE
35,4,4,Willam,HIGH
37,4,4,Jiggly Caliente,HIGH
40,4,4,Milan,BTM2
39,4,4,Madame LaQueer,ELIM
46,4,5,Sharon Needles,HIGH
45,4,5,Chad Michaels,WIN
38,4,5,Phi Phi O'Hara,LOW
47,4,5,Latrice Royale,SAFE
44,4,5,Kenya Michaels,ELIM
42,4,5,DiDa Ritz,SAFE
35,4,5,Willam,HIGH
37,4,5,Jiggly Caliente,SAFE
40,4,5,Milan,BTM2
46,4,6,Sharon Needles,SAFE
45,4,6,Chad Michaels,SAFE
38,4,6,Phi Phi O'Hara,HIGH
47,4,6,Latrice Royale,HIGH
42,4,6,DiDa Ritz,LOW
35,4,6,Willam,WIN
37,4,6,Jiggly Caliente,BTM2
40,4,6,Milan,ELIM
46,4,7,Sharon Needles,HIGH
45,4,7,Chad Michaels,LOW
38,4,7,Phi Phi O'Hara,WIN
47,4,7,Latrice Royale,LOW
42,4,7,DiDa Ritz,SAFE
35,4,7,Willam,BTM2
37,4,7,Jiggly Caliente,ELIM
46,4,8,Sharon Needles,BTM2
45,4,8,Chad Michaels,SAFE
38,4,8,Phi Phi O'Hara,BTM2
